id,scientific_name,latitude,longitude,year,month,day
21370705,Physcomitrium pyriforme,37.24511,-76.7892,2019,3,15
21370770,Physcomitrium pyriforme,37.24505,-76.7887,2019,3,15
21370982,Physcomitrium pyriforme,37.26551,-76.87233,2019,3,15
21371032,Physcomitrium pyriforme,37.26544,-76.87113,2019,3,15
21371086,Physcomitrium pyriforme,37.2657,-76.87296,2019,3,15
21371174,Physcomitrium pyriforme,37.26748,-76.87435,2019,3,15
21371288,Physcomitrium pyriforme,37.26782,-76.87232,2019,3,15
21371394,Physcomitrium pyriforme,37.26659,-76.86563,2019,3,15
21371486,Physcomitrium pyriforme,37.22619,-76.77819,2019,3,15
21371547,Physcomitrium pyriforme,37.2261,-76.77811,2019,3,15
21371650,Physcomitrium pyriforme,37.22605,-76.77722,2019,3,15
21371708,Physcomitrium pyriforme,37.22646,-76.77788,2019,3,15
21371754,Physcomitrium pyriforme,37.2266,-76.77811,2019,3,15
21400384,Physcomitrium pyriforme,38.15571667,-83.46475333,2019,3,19
21404263,Physcomitrium pyriforme,37.30138333,-82.92159167,2019,3,19
21436748,Physcomitrium,36.00521896,-78.930233,2019,3,17
21455980,Physcomitrium pyriforme,40.79076672,-111.8788094,2019,3,16
21466562,Physcomitrium pyriforme,37.23711167,-82.95082833,2019,3,21
21469804,Physcomitrium pyriforme,37.70453035,-89.22706084,2019,3,21
21518069,Physcomitrium pyriforme,38.23009167,-83.49696333,2019,3,23
21551528,Physcomitrium pyriforme,35.73078865,-79.10708423,2019,3,24
21552287,Physcomitrium pyriforme,34.06460941,-80.95566463,2019,3,23
21552297,Physcomitrium,35.73079887,-79.1069291,2019,3,24
21552343,Physcomitrium,35.73076811,-79.10694427,2019,3,24
21647575,Physcomitrium pyriforme,38.85929443,-84.11477416,2019,3,26
21665752,Physcomitrium pyriforme,36.09558945,-78.86639579,2019,3,27
21720483,Physcomitrium pyriforme,38.02279788,-85.76639086,2019,3,28
21722969,Physcomitrium pyriforme,38.09164167,-85.63542167,2019,3,28
21723426,Physcomitrium pyriforme,33.85057396,-87.64317793,2019,3,28
21723998,Physcomitrium pyriforme,37.15336077,-86.06395037,2019,3,28
21739697,Physcomitrium pyriforme,50.62864446,-1.329885409,2019,3,29
21744928,Physcomitrium pyriforme,36.07565308,-95.7689209,2019,3,28
21747806,Physcomitrium pyriforme,40.70129528,-73.99744834,2019,3,29
21757499,Physcomitrium pyriforme,37.23958,-76.77613,2019,3,29
21757595,Physcomitrium pyriforme,37.24415,-76.78522,2019,3,29
21757710,Physcomitrium pyriforme,37.24153,-76.77755,2019,3,29
21799271,Physcomitrium pyriforme,38.912596,-76.9418223,2019,3,30
21812388,Physcomitrium pyriforme,39.97013833,-84.26711167,2019,3,24
21813506,Physcomitrium pyriforme,43.03757621,-81.26805883,2019,3,30
21818696,Physcomitrium pyriforme,52.56455443,17.16841089,2019,3,30
21832826,Physcomitrium pyriforme,35.93968333,-97.03441667,2019,3,30
21841756,Physcomitrium pyriforme,36.09335486,-78.91196235,2019,3,31
21896167,Physcomitrium pyriforme,33.94018156,-81.15425874,2019,3,31
21896903,Physcomitrium pyriforme,33.94018907,-81.15445487,2019,3,31
21935943,Physcomitrium pyriforme,43.0442937,-81.27512909,2019,4,2
21980447,Physcomitrium pyriforme turbinatum,37.31819609,-76.798362,2019,4,4
21983020,Physcomitrium pyriforme,38.04560748,-78.46317345,2019,4,4
21989808,Physcomitrium pyriforme,39.14548883,-76.21759667,2019,3,31
22005874,Physcomitrium pyriforme,37.71704367,-89.21974313,2019,4,3
22023227,Physcomitrium,39.68685147,-75.77917139,2019,4,5
22035403,Physcomitrium pyriforme,38.69897833,-90.35893333,2019,4,3
22039676,Physcomitrium pyriforme,38.94798495,-76.2297105,2019,4,5
22102178,Physcomitrium pyriforme,39.486575,-76.99253,2019,4,6
22112328,Physcomitrium pyriforme,35.940505,-97.03568333,2019,4,6
22173120,Physcomitrium pyriforme,36.24233167,-79.76976667,2019,4,7
22191820,Physcomitrium pyriforme,41.50293282,-90.55042232,2019,4,8
22203243,Physcomitrium pyriforme,35.59357417,-83.03886672,2019,4,8
22210206,Physcomitrium pyriforme,38.79687001,-89.83773983,2019,4,8
22257216,Physcomitrium pyriforme,35.70031333,-96.87290833,2019,4,9
22260176,Physcomitrium pyriforme,38.39656817,-84.90942053,2019,4,9
22262052,Physcomitrium pyriforme,35.05877962,-97.22950442,2019,4,7
22293680,Physcomitrium pyriforme,39.74377745,-77.01310287,2019,4,10
22326601,Physcomitrium pyriforme,38.626168,-90.37949134,2019,4,11
22339212,Physcomitrium pyriforme,39.94936667,-75.19877,2019,4,6
22367192,Physcomitrium pyriforme,47.63409042,9.578432083,2019,4,12
22386440,Physcomitrium pyriforme,38.63191641,-90.187329,2019,4,12
22386773,Physcomitrium pyriforme,38.63304223,-90.1866628,2019,4,12
22386990,Physcomitrium pyriforme,38.67479333,-77.24681,2019,4,12
22478359,Physcomitrium,32.40478,-81.78701167,2019,4,14
22481427,Physcomitrium pyriforme,41.71514246,-72.5283685,2019,4,14
22488676,Physcomitrium pyriforme,38.96872248,-77.38569689,2019,4,13
22488911,Physcomitrium pyriforme,38.934375,-76.96193667,2019,4,14
22493995,Physcomitrium pyriforme,39.39978,-76.49258333,2019,3,28
22495855,Physcomitrium pyriforme,35.72174915,-78.90604372,2019,4,14
22497960,Physcomitrium pyriforme,38.78341667,-77.07086117,2019,4,13
22576417,Physcomitrium pyriforme,38.11816383,-97.85743,2019,4,16
22576446,Physcomitrium pyriforme,40.44387436,-79.90190125,2019,4,14
22583258,Physcomitrium pyriforme,37.28345,-76.7411,2019,4,3
22583896,Physcomitrium pyriforme,37.2899,-76.647,2019,4,4
22584214,Physcomitrium pyriforme,37.29374,-76.64417,2019,4,4
22584829,Physcomitrium pyriforme,37.27066,-76.67657,2019,4,4
22591594,Physcomitrium pyriforme,39.8489164,-86.329714,2019,4,16
22626500,Physcomitrium pyriforme,38.628975,-90.18332778,2019,4,9
22631525,Physcomitrium pyriforme,40.9029451,-81.57247695,2019,4,17
22638318,Physcomitrium pyriforme,40.51850264,-79.82341583,2019,4,11
22670836,Physcomitrium pyriforme,39.53695612,-76.50933803,2019,4,14
22676999,Physcomitrium pyriforme,39.74916333,-94.81792833,2019,4,18
22718253,Physcomitrium pyriforme,40.47177167,-74.436325,2019,4,19
22728652,Physcomitrium pyriforme,39.42056215,-76.97440475,2019,4,19
22733032,Physcomitrium pyriforme,40.13781383,-75.30263667,2019,4,19
22780133,Physcomitrium pyriforme,39.45004487,-76.99523957,2019,4,20
22780175,Physcomitrium pyriforme,39.57354628,-76.99136733,2019,4,20
22780196,Physcomitrium pyriforme,39.41015159,-76.88949959,2019,4,20
22780272,Physcomitrium pyriforme,39.43338494,-76.81064931,2019,4,20
22780326,Physcomitrium pyriforme,39.58582601,-76.86955394,2019,4,20
22780366,Physcomitrium pyriforme,39.44971425,-76.80815201,2019,4,20
22780425,Physcomitrium pyriforme,39.49221497,-76.85186018,2019,4,20
